field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;as5066ocmlp4tub6d3tnabi1g;1;99;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;GK;C. Jensen;;;;;;
2;87plrqqcwrv16d5v8mretfp7u;2;19;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;DR;I. Fray;;;;3x8f4j8q49d8hft60a6k8l5as;73,0;2,0
2;4qfqw1u2uvuardvdjw3pp6oyx;3;33;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;DC;F. Negri;;;;;;
3;7ve3vmg19c3g91j7zs32oecd0;4;23;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;MC;R. Montenegro;;;;;;
2;bo9momaa9orr52cbwpt348t90;5;15;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;DL;R. Sailor;;;;4kng7wg83mastngy9hw7j6v6y;45,0;2,0
2;6lsvk9o6d581sd33g38mr6904;6;3;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;DC;G. Ferraina;;;;;;
3;9z7fz0c95ib7oniguzwbihs0k;7;22;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;AMR;A. Flores;;;;9owtf360wi6ky1cr4qwnnfk0k;87,0;2,0
3;1yl2e0y3cglm1nwto5uzs3e5m;8;43;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;MC;L. Sunderland;;;;;;
4;cliiemf1ih37qhh1wi1olk9ka;9;9;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;FW;R. Carmichael;;;;;;
3;bn5ic0uuxaupf6hs2tgqqq0b8;10;10;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;AMC;S. Morales;;;;55y26r9mz105vrqmnq739l62;73,0;2,0
3;977s1fxwxwxqbged7jln0nka2;11;7;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;AML;Leo Afonso;;;;;;
5;55y26r9mz105vrqmnq739l62;0;11;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;Sub;D. Reyes;bn5ic0uuxaupf6hs2tgqqq0b8;73,0;2,0;;;
5;4kng7wg83mastngy9hw7j6v6y;0;2;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;Sub;N. Sessock;bo9momaa9orr52cbwpt348t90;45,0;2,0;;;
5;infc7r3a8oktbajwp4pff7dg;0;17;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;Sub;;;;;;;
5;19igj31auu88fhwdpfz8c1coa;0;1;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;Sub;;;;;;;
5;3x8f4j8q49d8hft60a6k8l5as;0;12;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;Sub;T. Barton;87plrqqcwrv16d5v8mretfp7u;73,0;2,0;;;
5;9hxomhr5g6zy05ei4z4lhrklw;0;13;8;c7c4wwva2u1vb3rr7rwava044;er7x4fmh5r2k8oecv3el3cdg4;home;1;Sub;;;;;;;
